"condition","expression","E1","E2","E3","E4","Em"
"WT",1.02121021,1,1,1,1,1
"WT",0.97878979,1,1,1,1,1
"WT",1.08471229,1,1,1,1,1
"WT",0.90292933,1,1,1,1,1
"WT",1.01235838,1,1,1,1,1
"R1",0.56023683,0,1,1,1,1
"R1",0.59405546,0,1,1,1,1
"R1",0.82369339,0,1,1,1,1
"R1",0.75920235,0,1,1,1,1
"R2",0.44740453,1,0,1,1,1
"R2",0.40503413,1,0,1,1,1
"R2",0.51606185,1,0,1,1,1
"R2",0.48716913,1,0,1,1,1
"R2",0.59297474,1,0,1,1,1
"R3",0.74284317,1,1,0,1,1
"R3",0.93196704,1,1,0,1,1
"R3",0.94067742,1,1,0,1,1
"R(m)",0.97063359,1,1,1,1,0
"R(m)",1.02420443,1,1,1,1,0
"R(m)",0.89426377,1,1,1,1,0
"R(m)",0.92570423,1,1,1,1,0
"R(m)",0.97679535,1,1,1,1,0
"R4",0.83869844,1,1,1,0,1
"R4",0.77809903,1,1,1,0,1
"R4",0.88300277,1,1,1,0,1
"R1/2",0.09129852,0,0,1,1,1
"R1/2",0.08843588,0,0,1,1,1
"R1/2",0.07962827,0,0,1,1,1
"R1/2",0.07832112,0,0,1,1,1
"R2/3",0.5051397,1,0,0,1,1
"R2/3",0.50208307,1,0,0,1,1
"R2/3",0.55772219,1,0,0,1,1
