"file","link","error","optim.iter","bic","rel.bic","Activity Bounds","Replicates","WT"
"X100rep_fix.test1.superE_Results_2018.10.02.csv","logistic","lognormal",500,-3296.43117873141,-256.636621289186,"c(-10, 10)","100rep","fix"
"X100rep_fix.test1.superE_Results_2018.10.02.csv","logistic","lognormal",1000,-3297.03412075696,-257.239576327813,"c(-10, 10)","100rep","fix"
"X100rep_fix.test1.superE_Results_2018.10.02.csv","logistic","lognormal",5000,-3297.03449160589,-257.239615324907,"c(-10, 10)","100rep","fix"
"X100rep_fix.test1.superE_Results_2018.10.02.csv","logistic","lognormal",10000,-3297.03431488934,-257.239438608357,"c(-10, 10)","100rep","fix"
"X100rep_fix.test1.superE_Results_2018.10.02.csv","logistic","lognormal",20000,-3297.03443753167,-257.239561250689,"c(-10, 10)","100rep","fix"
"X100rep_fix.test2.superE_Results_2018.10.03.csv","logistic","lognormal",5000,-3291.17400602284,-251.379129741903,"c(-50, 50)","100rep","fix"
"X100rep_norm.test1.superE_Results_2018.10.07.csv","logistic","lognormal",5000,-3227.53376713329,-310.538102660557,"c(-10, 10)","100rep","norm"
"X100rep_norm.test1.superE_Results_2018.10.07.csv","logistic","lognormal",10000,-3227.53209592154,-310.53643144881,"c(-10, 10)","100rep","norm"
"X100rep_norm.test1.superE_Results_2018.10.07.csv","logistic","lognormal",20000,-3227.53260343809,-310.536938965356,"c(-10, 10)","100rep","norm"
"X10rep_fix.test1.superE_Results_2018.10.01.csv","logistic","lognormal",10000,-304.043289497522,-22.0955916161159,"c(-10, 10)","10rep","fix"
"X10rep_fix.test1.superE_Results_2018.10.01.csv","logistic","lognormal",20000,-304.043284423158,-22.0955865417522,"c(-10, 10)","10rep","fix"
"X10rep_norm.test1.superE_Results_2018.10.06.csv","logistic","lognormal",1000,-297.204153823833,-27.5296409782118,"c(-10, 10)","10rep","norm"
"X10rep_norm.test1.superE_Results_2018.10.06.csv","logistic","lognormal",2000,-297.211343834626,-27.5368221493371,"c(-10, 10)","10rep","norm"
"X10rep_norm.test1.superE_Results_2018.10.06.csv","logistic","lognormal",5000,-297.210818423767,-27.5362651987366,"c(-10, 10)","10rep","norm"
"X10rep_norm.test1.superE_Results_2018.10.06.csv","logistic","lognormal",10000,-297.211337680391,-27.5367844553601,"c(-10, 10)","10rep","norm"
"X10rep_norm.test1.superE_Results_2018.10.06.csv","logistic","lognormal",20000,-297.211439223989,-27.536885998958,"c(-10, 10)","10rep","norm"
"X10rep_norm.test2.superE_Results_2018.10.06.csv","logistic","lognormal",2000,-292.050330579938,-22.3757994308469,"c(-50, 50)","10rep","norm"
"X10rep_norm.test2.superE_Results_2018.10.06.csv","logistic","lognormal",20000,-297.211516940702,-27.5369637156705,"c(-50, 50)","10rep","norm"
